Year,Place,P (Blank or P),Governing Body,Type of Governing Body,5+,Description,Verified,Specific,Reception,Protection,Contact Through Trade,Partial Emancipation,Symbolic,Full Emancipation,Invited,Success Altering Country,Bribe Ends Expulsion,Leader Ends Expulsion,Conquer Country,Self Governing,Noted Holding IP,Brought in for Economic Growth,Laws Protecting Israel/Jews
1870,Algeria,,,,,"Algerian Jews were granted the right of individual naturalization in 1865, and on October 24, 1870, by the Crémieux Decree all Algerian Jews were forced to become French citizens, except for those in the south, whose legal situation remained uncertain. This was the first instance in the Muslim world in which the Jew’s legal status changed so radically.|The 35,000 Jews living in Algeria are granted French citizenship as a result of the Crémieux Decree. This leads to a rise of antisemitism in Algeria and across the Middle East.																										",,,,,,,,,,,,,,,,,
1871,Germany[32],,,,,,,,,,,,,,,,,,,,,,
1873,"Smederevo, Yugoslavia",P,,,,,,,,,,,,,,,,,,,,,
1873,"Požarevac, Yugoslavia",P,,,,,,,,,,,,,,,,,,,,,
1873,"Šabac, Yugoslavia",P,,,,,,,,,,,,,,,,,,,,,
1873,Balkans,,,,,The Jews of Croatia and Dalmatia only received full emancipation in 1873.,,,,,,,,,,,,,,,,,
1874,Constantinople,P,,,,,,,,,,,,,,,,,,,,,
1875,"Izmir, Ottoman Empire",P,,,,,,,,,,,,,,,,,,,,,
1875,"Demnat, Morocco",P,,,,,,,,,,,,,,,,,,,,,
1877,Morocco,P,,,,,,,,,,,,,,,,,,,,,
1877,New Hampshire (last US state to lift restrictions limiting public office to Protestants),,,,,,,,,,,,,,,,,,,,,,
1878,Serbia,,,,,"The treaty of Berlin of 1878 accorded civil and political equality to the Jews of Serbia, but it was only in 1889 that the Serbian parliament proclaimed the complete equality of all Serbians without distinction of origin and religion and abolished the restrictive decrees of the previous years.",,,,,,,,,,,,,,,,,
1878,Bulgaria,,,,,,,,,,,,,,,,,,,,,,
1879,"Kutaisi, Georgia",P,,,,,,,,,,,,,,,,,,,,,
1880,Russian occupied Turkey and Bukhara,,,,,"Initially, the Russians sought the loyalty of the Bukharan Jews as they saw the Jews as their only friend among the newly conquered populations. This friendship was due to years of close trade relations between Jewish and Russian merchants. Russia did not restrict Jewish autonomy and aided the Bukharians in becoming a powerful trading class with Central Asia and the Russian Empire.|Claiming it was solely in the interest of Russian merchants, in 1888, the Russian authorities decreed the expulsion of all Jews from the Trans-Caspian region, encompassing Bukhara and Turkistan. Ironically, the decree was never realized due trade interests with local Jews.",,,,,,,,,,,,,,,,,
1881,"Kiev, Russia",P,,,,,,,,,,,,,,,,,,,,,
1881,"Nikolayev, Russia",P,,,,,,,,,,,,,,,,,,,,,
1881,"Tlemcen, Algeria",P,,,,,,,,,,,,,,,,,,,,,
1881,Germany,P,,,,,,,,,,,,,,,,,,,,,
1881,Russia,P,,,,,,,,,,,,,,,,,,,,,
1881,Odessa,P,,,,,,,,,,,,,,,,,,,,,
1881,Warsaw,P,,,,,,,,,,,,,,,,,,,,,
1882,Algiers,P,,,,,,,,,,,,,,,,,,,,,
1882,"Dresden, Germany",P,,,,,,,,,,,,,,,,,,,,,
1882,Russia,P,,,,,,,,,,,,,,,,,,,,,
1882,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1882,Palestine,,,,,"Emigration from Yemen to the area now known as Israel began in 1881, and continued almost without interruption until 1914. It was during this time that about 10% of the Yemenite Jews left. Due to the changes in the Ottoman Empire, citizens could move more freely, and in 1869, travel was improved with the opening of the Suez Canal, which reduced the travel time from Yemen to Palestine. Certain Yemenite Jews interpreted these changes and the new developments in the ""Holy Land"" as heavenly signs that the time of redemption was near. By settling in the Holy Land, they would play a part in what they believed could precipitate the anticipated messianic era.From 1881 to 1882, some 30 Jewish families left Sana'a and several nearby settlements, and made the long trek by foot and by sea to Jerusalem, where most had settled in Silwan.[87] This wave was followed by other Jews from central Yemen, who continued to move into Palestine until 1914. ",,,,,,,,,,,,,,,,,
1882,"Russia/Bălți, Moldova",,,,,,,,,,,,,,,,,,,,,,
1883,Oran,P,,,,,,,,,,,,,,,,,,,,,
1883,Setif,P,,,,,,,,,,,,,,,,,,,,,
1885,Romania,P,,,,,,,,,,,,,,,,,,,,,
1886,South Africa,,,,,"South African gold rush began after 1886, attracting many Jews. In 1880, the Jewish population of South Africa numbered approximately 4,000; by 1914 it had grown to more than 40,000.[11] So many of them came from Lithuania that some referred to the population as a colony of Lithuania; Johannesburg was also occasionally called ""Jewburg",,,,,,,,,,,,,,,,,
1887,Russia,P,,,,,,,,,,,,,,,,,,,,,
1887,Bukhara,P,,,,,,,,,,,,,,,,,,,,,
1887,Slovakia,P,,,,,,,,,,,,,,,,,,,,,
1890,Brazil[33],,,,,,,,,,,,,,,,,,,,,,
1891,"Corfu, Zakynthos",P,,,,,,,,,,,,,,,,,,,,,
1891,"Moscow, Russia",P,,,,,,,,,,,,,,,,,,,,,
1891,"Jerusalem, Constantinople",P,,,,,,,,,,,,,,,,,,,,,
1891,United States,,,,,Eased restirctions to immigration,,,,,,,,,,,,,,,,,
1891,"Xanten, Germany",P,,,,,,,,,,,,,,,,,,,,,
1892,"Hamadan, Persia",,,,,"Mulla Abdullah issues a fatwa to kill all the Jews of Hamadan if they refuse to abide by Jewish restrictions. The local Persian Jews were later ordered to become Muslims or face death. |In 1892 there rose a fanatic, Mulla ʿAbdallah, in Hamadan who issued a fatwā to kill the Jews of the city if they refused to abide by restrictions imposed upon Jews, such as wearing the ""Jewish patch."" Later they were ordered to embrace *Islam or face the death penalty. For about 40 days Jews were afraid to leave their Mahalleh. The intervention of the central government together with the British consulate prevented a brutal massacre (BAIU, 18, (1892), 48; Levy, 756–762). Narrating the event, Levy argues that if one recalls the severe persecutions led by Mulla ʿAbdallah and the warm, friendly, supportive attitude of the Bahāi inhabitants towards the persecuted Jews, who were on the verge of annihilation, one can also understand the mutual affection evinced by believers of both these religions in Hamadan. Levy points out that during this time, about 30 Jews from the community's elite in Hamadan were forced to convert to Islam. Later, some of the converts turned to the Bahāi religion. According to Levy, the positive approach demonstrated by some of Hamadan Jews toward the Bahāi religion also rubbed off on Teheran's Jewish community and the other provincial towns.| Hamadan in 1860 and described most of the Jews of the city as wealthy but hated by the Muslims ||||||||||||| Hamadan in 1860 and described most of the Jews of the city as wealthy but hated by the Muslims. | Mulla Abdullah issues a fatwa to kill all the Jews of Hamadan if they refuse to abide by Jewish restrictions. The local Persian Jews were later ordered to become Muslims or face death stopped by British,",1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,
1892,"Hamadan, Persia",P,,,,,,,,,,,,,,,,,,,,,
1892,"Moscow, Russia",P,,,,,,,,,,,,,,,,,,,,,
1893,Romania,P,,,,,,,,,,,,,,,,,,,,,
1895,Hungary.,,,,,"In 1895, the Jewish religion was officially recognized by the state and given the same rights as Protestant and Catholics religions.",,,,,,,,,,,,,,,,,
1897,Oran,P,,,,,,,,,,,,,,,,,,,,,
1897,Mostaganem,P,,,,,,,,,,,,,,,,,,,,,
1897,Kantakuzenka (Russia),P,,,,,,,,,,,,,,,,,,,,,
1897,Tripolitania,P,,,,,,,,,,,,,,,,,,,,,
1898,Rennes (France),P,,,,,,,,,,,,,,,,,,,,,
1898,Algiers,P,,,,,,,,,,,,,,,,,,,,,
1899,Lithuania,P,,,,,,,,,,,,,,,,,,,,,
1899,"Nicholayev, Russia/Ukraine",P,,,,,,,,,,,,,,,,,,,,,
1899,Bohemia,P,,,,,,,,,,,,,,,,,,,,,
1900,Konitz (Prussia),P,,,,,,,,,,,,,,,,,,,,,
1900,Tuchel,P,,,,,,,,,,,,,,,,,,,,,
1900,Czersk,P,,,,,,,,,,,,,,,,,,,,,
1900,Komarczyn,P,,,,,,,,,,,,,,,,,,,,,
1900,Bütow,P,,,,,,,,,,,,,,,,,,,,,
1900,Stolp,P,,,,,,,,,,,,,,,,,,,,,
1902,Poland,P,,,,,,,,,,,,,,,,,,,,,
1902,Italy,,,,,"Giuseppe Ottolenghi is named minister of war of Italy. An army officer, he is the first Jew to serve on the general staff. He achieved the rank of lieutenant general.",,,,,,,,,,,,,,,,,
1903,Russia,,,,,"From 1903, some village settlements which had assumed an urban character were given the status of townlets, and the Jews were thus granted the legal right of living in them. Up to the outbreak of World War I some 300 settlements were thus opened for Jewish residence. In 1904 instructions were issued that all the Jews authorized to reside outside the Pale of Settlement could also settle in the rural areas there.",,,,,,,,,,,,,,,,,
1903,Romania,P,,,,,,,,,,,,,,,,,,,,,
1903,Kishinev,P,,,,,,,,,,,,,,,,,,,,,
1904,"Limerick, Ireland",P,,,,,,,,,,,,,,,,,,,,,
1904,Manchuria,P,,,,,,,,,,,,,,,,,,,,,
1904,"Kiev, Russia",P,,,,,,,,,,,,,,,,,,,,,
1904,Volhynia,P,,,,,,,,,,,,,,,,,,,,,
1905,Ananiv,P,,,,,,,,,,,,,,,,,,,,,
1905,Wasilkov,P,,,,,,,,,,,,,,,,,,,,,
1905,Elizabethgrad,P,,,,,,,,,,,,,,,,,,,,,
1905,Konotop,P,,,,,,,,,,,,,,,,,,,,,
1905,Shpola,P,,,,,,,,,,,,,,,,,,,,,
1905,Kiev,P,,,,,,,,,,,,,,,,,,,,,
1905,"Nagasaki, Japan",P,,,,,,,,,,,,,,,,,,,,,
1905,Zhitomir (Yolhynia),P,,,,,,,,,,,,,,,,,,,,,
1905,Yekaterinoslav,P,,,,,,,,,,,,,,,,,,,,,
1906,Russia,P,,,,,,,,,,,,,,,,,,,,,
1906,France,P,,,,,,,,,,,,,,,,,,,,,
1907,Casablanca,P,,,,,,,,,,,,,,,,,,,,,
1908,Lebanon,,,,,"The Jewish community of Beirut evolved in three distinct phases.[15] Until 1908, the Jewish population in Beirut grew by migration from the Syrian interior and from other Ottoman cities like İzmir, Salonica, Istanbul, and Baghdad. Commercial growth in the thriving port-city, consular protection, and relative safety and stability in Beirut all accounted for the Jewish migration. Thus, from a few hundred at the beginning of the 19th century, the Jewish community grew to 2,500 by the end of the century, and to 3,500 by World War I. While the number of Jews grew considerably, the community remained largely unorganized. During this period, the community lacked some of the fundamental institutions such as communal statutes, elected council, welfare and taxation mechanisms. In this period, the most organized and well-known Jewish institution in the city was probably the private Tiferet Israel (The Glory of Israel) boarding-school founded by Zaki Cohen in 1874. The school attracted Jewish students from prosperous families like Shloush (Jaffa), Moyal (Jaffa), and Sassoon (Baghdad). Its founder, influenced by the Ottoman reforms and by local cultural trends, aspired to create a modern yet Jewish school. It offered both secular and strictly Jewish subjects as well as seven languages. It also offered commercial subjects. The school was closed at the beginning of the 20th century due to financial hardships.",,,,,,,,,,,,,,,,,
1910,Brazil.,,,,,"During this century and up to 1910, around 1000 Moroccan Jewish families migrated to the Amazon, in northern Brazil, during the rubber boom.",,,,,,,,,,,,,,,,,
1910,"Kiev, Russia",P,,,,,,,,,,,,,,,,,,,,,
1910,"Shiraz, Iran",P,,,,,,,,,,,,,,,,,,,,,
1911,"Tuscany, Italy",P,,,,,,,,,,,,,,,,,,,,,
1911,Egypt,P,,,,,,,,,,,,,,,,,,,,,
1911,Iraq,P,,,,,,,,,,,,,,,,,,,,,
1911,Syria,P,,,,,,,,,,,,,,,,,,,,,
1911,Turkey,P,,,,,,,,,,,,,,,,,,,,,
1911,Italy,P,,,,,,,,,,,,,,,,,,,,,
1911,Lebanon,,,,,"n 1911, Jews from Italy, Greece, Syria, Iraq, Turkey, Egypt and Iran moved to Beirut, expanding the community there with more than 5,000 additional members. Articles 9 and 10 of the 1926 Constitution of Lebanon guaranteed the freedom of religion and provided each religious community, including the Jewish community, the right to manage its own civil matters, including education, and thus the Jewish community was constitutionally protected, a fact that did not apply to other Jewish communities in the region.[14] The Jewish community prospered under the French mandate and Greater Lebanon, exerting considerable influence throughout Lebanon and beyond. They allied themselves with Pierre Gemayel's Phalangist Party (a right wing, Maronite group modelled after similar movements in Italy and Germany, and Franco's Phalangist movement in Spain.) and played an instrumental role in the establishment of Lebanon as an independent state.",,,,,,,,,,,,,,,,,
1911,Portugal,,,,,,,,,,,,,,,,,,,,,,
1911,Greece,P,,,,,,,,,,,,,,,,,,,,,
1912,Romania,P,,,,,,,,,,,,,,,,,,,,,
1912,"Fez, Morocco",P,,,,,,,,,,,,,,,,,,,,,
1912,Yemen,P,,,,,,,,,,,,,,,,,,,,,
1913,Kiev,P,,,,,,,,,,,,,,,,,,,,,
1914,"Tel Aviv, Palestine",P,,,,,,,,,,,,,,,,,,,,,
1914,Galicia,P,,,,,,,,,,,,,,,,,,,,,
1914,South Africa,,,,,"by 1914 it had grown to more than 40,000.[11] So many of them came from Lithuania that some referred to the population as a colony of Lithuania; Johannesburg was also occasionally called ""Jewburg",,,,,,,,,,,,,,,,,
1914,"Jaffa, Palestine",P,,,,,,,,,,,,,,,,,,,,,
1915,Volhynia,P,,,,,,,,,,,,,,,,,,,,,
1915,"Atlanta, Georgia",P,,,,,,,,,,,,,,,,,,,,,
1915,"Kurland, Russia",P,,,,,,,,,,,,,,,,,,,,,
1915,"Kovno, Russia",P,,,,,,,,,,,,,,,,,,,,,
1915,"Kaunas, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1915,Russia,P,,,,,,,,,,,,,,,,,,,,,
1915,Bukovina,P,,,,,,,,,,,,,,,,,,,,,
1915,"Kaunas, Lithuania",Various - Christian,German Empire Deutsches Reich,Federal parliamentary semi-constitutional monarchy,,"In one 48-hour interval in May 1915, all 40,000 Jews living in Kaunas, Lithuania are forcibly removed from the city.| https://collections.yadvashem.org/en/places/5428050 Non-Jewish residents opposed efforts by noblemen to encourage Jewish settlement for economic growth. WWI| May 1915 an edict was issued by the czarist government expelling the Jews from the entire province",1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,
1917,Russia,P,,,,,,,,,,,,,,,,,,,,,
1917,Russia,,,,,the provisional government abolished the Pale of Settlement among the rest of the anti-Jewish restrictions.,,,,,,,,,,,,,,,,,
1918,Finland,,,,,,,,,,,,,,,,,,,,,,
1918,Lwów,P,,,,,,,,,,,,,,,,,,,,,
1918,Russia,P,,,,,,,,,,,,,,,,,,,,,
1919,United States,,,,,Suffragette Movement succeeds in providing women the right to vote,,,,,,,,,,,,,,,,,
1919,Italy,,,,,Italian citizenship granted to Jews after 1919,,,,,,,,,,,,,,,,,
1919,Austria,,,,,The Treaty of St. Germain (1919) guaranteed the Jews *minority rights. The Zionists founded a Jewish National Council (Juedischer Nationalrat).,,,,,,,,,,,,,,,,,
1919,"Uman, Podolia, Modern Day Ukraine",Russian Orthodox Church,Transitionary -Russian Civil War,,,"During the Russian Civil War the Jews of Uman in eastern Podolia were subjected to two pogroms in 1919, as the town changed hands several times. The first pogrom, in spring, claimed 170 victims; the second one, in summer, more than 90. This time the Christian inhabitants helped to hide the Jews. The Council for Public Peace, with a Christian majority and a Jewish minority, saved the city from danger several times. In 1920, for example, it stopped the pogrom initiated by the troops of General Denikin. 1919-1920AD | The February massacres in Proskuriv and the adjacent Felsztyn [uk] in Podolia province were among the bloodiest acts of antisemitic violence during the war in Ukraine. In Proskuriv, the local Bolsheviks planned an armed uprising on 15 February. Despite the opposition of the Jewish socialist parties and the warnings of the city guard, and without consulting the inhabitants, the Bolsheviks went ahead with their coup attempt. However, they were quickly defeated by the Cossack army. The head of the stationed brigade, Ivan Semesenko, then issued a speech to the soldiers in which he blamed the Jews for the incidents, marking them with the epithet ""the most dangerous enemies of the Ukrainians and Cossacks"" and ordering their ""extermination"". Cossacks burst into Jewish homes and massacred entire families for three hours. The pogrom was stopped thanks to the intervention of the front commander. However, 1,200–1,400 people were killed, and 300 of those wounded died soon after. In the following days, the otaman issued a proclamation on antisemitic rhetoric, and only collecting the ransom removed the threat of a resumption of the pogrom",1,1,1,1,0,0,1,0,0,0,1,1,0,0,,"Despite the opposition of the Jewish socialist parties and the warnings of the city guard, and without consulting the inhabitants, the Bolsheviks went ahead with their coup attempt. ",
1919,Kiev,P,,,,,,,,,,,,,,,,,,,,,
1919,Pinsk,P,,,,,,,,,,,,,,,,,,,,,
1919,Proskurov,P,,,,,,,,,,,,,,,,,,,,,
1919,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1919,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1919,Prague,P,,,,,,,,,,,,,,,,,,,,,
1919,"Uman, Podolia, Modern Day Ukraine",P,,,,,,,,,,,,,,,,,,,,,
1919,Tetiev,P,,,,,,,,,,,,,,,,,,,,,
1920,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1920,Russia,P,,,,,,,,,,,,,,,,,,,,,
1920,"Dearborn, Michigan, USA",P,,,,,,,,,,,,,,,,,,,,,
1920,Bukhara,P,,,,,,,,,,,,,,,,,,,,,
1920,"Munich, Germany",P,,,,,,,,,,,,,,,,,,,,,
1920,"Breslau, Germany",P,,,,,,,,,,,,,,,,,,,,,
1920,"Jerusalem, Palestine",P,,,,,,,,,,,,,,,,,,,,,
1920,Lebanon,,Greater Lebanon,,,"With the establishment of Greater Lebanon (1920), the Jewish community of Beirut became part of a new political entity. The French mandate rulers adopted local political traditions of power-sharing and recognized the autonomy of the various religious communities. Thus, the Jewish community was one of Lebanon's sixteen communities and enjoyed a large measure of autonomy, more or less along the lines of the Ottoman millet system. During the third phase of its development, the community founded two major institutions: the Maghen Abraham Synagogue (1926), and the renewed Talmud-Torah Selim Tarrab community school (1927). The community also maintained welfare services like the Biqur-Holim, Ozer-Dalim, and Mattan-Basseter societies. The funding for all these institutions came from contributions of able community members, who contributed on Jewish holidays and celebrations, through subscription of prominent members, fund-raising events and lotteries the community organized. In fact, the community was financially independent and did not rely on European Jewish philanthropy.",1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0
1921,Baghdad,,British Occupation,,,"With the establishment of the Iraqi state under the British Mandate in 1921, Jews became full-fledged citizens and enjoyed the right to vote and hold elected office. The Jewish community had between four and six representatives in the Parliament and one member in the Senate. The community was headed by a president, Rabbi Sasson Khedhuri (1933-1949; 1954-1971), an elected council of 60 members, and two executive committees—the spiritual committee for religious issues and the secular committee for managing the secular affairs of the community organizations. Its elite included also high-ranking officials, prominent attorneys and dignitaries, and wealthy merchants. This status of the Jews did not change in 1932, when Iraq gained independence under British informal rule.",,,,,,,,,,,,,,,,,
1921,Austria,P,,,,,,,,,,,,,,,,,,,,,
1921,Romania,P,,,,,,,,,,,,,,,,,,,,,
1921,"Jaffa, Palestine",P,,,,,,,,,,,,,,,,,,,,,
1921,Mongolia,P,,,,,,,,,,,,,,,,,,,,,
1922,"Boston, MA",P,,,,,,,,,,,,,,,,,,,,,
1923,"Bavaria, Germany",P,,,,,,,,,,,,,,,,,,,,,
1923,Romania,,,,,,,,,,,,,,,,,,,,,,
1924,United States,P,,,,,,,,,,,,,,,,,,,,,
1925,"Milan, Italy",P,,,,,,,,,,,,,,,,,,,,,
1926,Uzbekistan,P,,,,,,,,,,,,,,,,,,,,,
1926,Lebanon,,French Occupation,,,"for a brief period under the French Mandate of Lebanon and 1926 Constitution of Lebanon, the Jewish community was constitutionally protected.",,,,,,,,,,,,,,,,,
1927,"Paris, France",,,,,The Schwartzbard trial was a sensational 1927 French murder trial that resulted in a mistrial of international proportions. At the trial Sholom Schwartzbard was accused of murdering the Ukrainian immigrant and head of the Ukrainian government-in-exile Symon Petlura in Paris. While the defendant fully admitted to the crime the trial at the end turned in accusation of Petlura's responsibility for the massive 1919–1920 pogroms in Ukraine in which Schwartzbard had lost all 15 members of his family. Instead of Schwartzbard's murder case the trial was turned into a political case against the Ukrainian government. Schwartzbard was acquitted.,,,,,,,,,,,,,,,,,
1928,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1928,"Massena, New York, USA",P,,,,,,,,,,,,,,,,,,,,,
1929,"Safed, Palestine",P,,,,,,,,,,,,,,,,,,,,,
1929,"Lemberg, Poland",P,,,,,,,,,,,,,,,,,,,,,
1929,"Hebron, Palestine",P,,,,,,,,,,,,,,,,,,,,,
1930,Italy,,,,,"Italy enacts a law standardizing the legal status of Italian Jewish communities. They must join the Union of Italian-Jewish Communities, the central representative body; election of local leaders is required; mandatory contributions are established; the role of rabbis is defined; and the law decrees that the community is subject to the protection and supervision of the state.",,,,,,,,,,,,,,,,,
1930,"Bălți, Moldova",P,,,,,,,,,,,,,,,,,,,,,
1933,"Bucharest, Romania",P,,,,,,,,,,,,,,,,,,,,,
1933,"Toronto, Ontario, Canada",P,,,,,,,,,,,,,,,,,,,,,
1933,Germany,P,,,,,,,,,,,,,,,,,,,,,
1933,Towns in Afghanistan,P,,,,,,,,,,,,,,,,,,,,,
1934,"Piedmont, Italy",P,,,,,,,,,,,,,,,,,,,,,
1934,"Thrace, Turkey",P,,,,,,,,,,,,,,,,,,,,,
1934,"Çanakkale, Turkey ",P,,,,,,,,,,,,,,,,,,,,,
1934,"Kırklareli, Turkey",P,,,,,,,,,,,,,,,,,,,,,
1934,"Tekirdağ, Turkey",P,,,,,,,,,,,,,,,,,,,,,
1934,"Constantine, Algeria",P,,,,,,,,,,,,,,,,,,,,,
1934,Afghanistan,P,,,,,,,,,,,,,,,,,,,,,
1934,"Edirne, Turkey",P,,,,,,,,,,,,,,,,,,,,,
1935,"Libya, Colony of Italy",P,,,,,,,,,,,,,,,,,,,,,
1935,Germany,P,,,,,,,,,,,,,,,,,,,,,
1935,"Aegean Islands, Colony of Italy",P,,,,,,,,,,,,,,,,,,,,,
1936,"Jaffa, Palestine",P,,,,,,,,,,,,,,,,,,,,,
1936,"Przytyk, Poland",P,,,,,,,,,,,,,,,,,,,,,
1936,Palestine,P,,,,,,,,,,,,,,,,,,,,,
1936,Japan,P,,,,,,,,,,,,,,,,,,,,,
1937,"Milan, Italy",P,,,,,,,,,,,,,,,,,,,,,
1937,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1937,"Florence, Italy",P,,,,,,,,,,,,,,,,,,,,,
1938,"Dresden, Germany",P,,,,,,,,,,,,,,,,,,,,,
1938,Ecuador,P,,,,,,,,,,,,,,,,,,,,,
1938,"Tiberias, Palestine",P,,,,,,,,,,,,,,,,,,,,,
1938,Italy,P,,,,,,,,,,,,,,,,,,,,,
1938,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1938,"Vienna, Austria",P,,,,,,,,,,,,,,,,,,,,,
1938,"Evian-les-Bains, France",P,,,,,,,,,,,,,,,,,,,,,
1939,Canada; Cuba; United States; Germany,P,,,,,,,,,,,,,,,,,,,,,
1939,Albania,P,,,,,,,,,,,,,,,,,,,,,
1939,United States,P,,,,,,,,,,,,,,,,,,,,,
1939,Poland,P,,,,,,,,,,,,,,,,,,,,,
1939,"Dresden, Germany",P,,,,,,,,,,,,,,,,,,,,,
1939,Malaysia,P,,,,,,,,,,,,,,,,,,,,,
1939,Netherlands East Indies,P,,,,,,,,,,,,,,,,,,,,,
1940,France,P,,,,,,,,,,,,,,,,,,,,,
1940,Poland,P,,,,,,,,,,,,,,,,,,,,,
1940,"Fiume, Italy",P,,,,,,,,,,,,,,,,,,,,,
1940,"Genoa, Italy",P,,,,,,,,,,,,,,,,,,,,,
1940,"Sardinia, Italy",P,,,,,,,,,,,,,,,,,,,,,
1940,"Sicily, Italy",P,,,,,,,,,,,,,,,,,,,,,
1940,"Trieste, Italy",P,,,,,,,,,,,,,,,,,,,,,
1940,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
1940,"Milan, Italy",P,,,,,,,,,,,,,,,,,,,,,
1940,France,P,,,,,,,,,,,,,,,,,,,,,
1940,Japan,,,,,"During World War II, Japan was regarded by some as a safe refuge from the Holocaust, despite being a part of the Axis and an ally of Germany. Jews trying to escape German-occupied Poland could not pass the blockades near the Soviet Union and the Mediterranean Sea and were forced to go through the neutral country of Lithuania (which was occupied by belligerents in June 1940, starting with the Soviet Union, then Germany and then the Soviet Union again). Of those who arrived, many (around 5,000) were sent to the Dutch West Indies with so-called Curaçao visas issued by the Dutch consul Jan Zwartendijk,[9] and Japanese visas issued by Chiune Sugihara, the Japanese consul to Lithuania. Zwartendijk went against Dutch consular guidelines, and Sugihara ignored his orders and gave thousands of Jews entry visas to Japan, risking his career. Together, both consuls saved more than 6,000 lives.Sugihara is said to have cooperated with Polish intelligence, as part of a bigger Japanese-Polish cooperative plan.[10] They managed to flee across the vast territory of Russia by train to Vladivostok and then by boat to Kobe in Japan. The refugees – 2,185 in number – arrived in Japan from August 1940 to June 1941. Tadeusz Romer, the Polish ambassador in Tokyo, had managed to get transit visas in Japan; asylum visas to Canada, Australia, New Zealand and Burma; immigration certificates to Palestine; and immigrant visas to the United States and some Latin American countries.",,,,,,,,,,,,,,,,,
1941,"Slobodka, Lithuania",P,,,,,,,,,,,,,,,,,,,,,
1941,"Des Moines, Iowa, USA",P,,,,,,,,,,,,,,,,,,,,,
1941,"Italy's Colonies, Africa ",P,,,,,,,,,,,,,,,,,,,,,
1941,"Liepāja, Latvia",P,,,,,,,,,,,,,,,,,,,,,
1941,"Bălți, Moldova",P,,,,,,,,,,,,,,,,,,,,,
1941,"Babi Yar, Ukraine",P,,,,,,,,,,,,,,,,,,,,,
1941,"Jedwabne, Poland",P,,,,,,,,,,,,,,,,,,,,,
1941,Japan,P,,,,,,,,,,,,,,,,,,,,,
1941,"Iași, Romania",P,,,,,,,,,,,,,,,,,,,,,
1941,France,P,,,,,,,,,,,,,,,,,,,,,
1941,Germany,P,,,,,,,,,,,,,,,,,,,,,
1941,Hungary,P,,,,,,,,,,,,,,,,,,,,,
1941,Austria,P,,,,,,,,,,,,,,,,,,,,,
1941,Czechoslovakia,P,,,,,,,,,,,,,,,,,,,,,
1941,"Lviv, Ukraine",P,,,,,,,,,,,,,,,,,,,,,
1941,Yugoslavia,P,,,,,,,,,,,,,,,,,,,,,
1941,"Baghdad, Iraq",P,,,,,,,,,,,,,,,,,,,,,
1941,"Gabès, Tunisia",P,,,,,,,,,,,,,,,,,,,,,
1942,Slovakia,P,,,,,,,,,,,,,,,,,,,,,
1942,"Belgium, Holland",P,,,,,,,,,,,,,,,,,,,,,
1942,"Zagreb, Croatia",P,,,,,,,,,,,,,,,,,,,,,
1942,France,P,,,,,,,,,,,,,,,,,,,,,
1942,"Berlin, Germany",P,,,,,,,,,,,,,,,,,,,,,
1942,Tunisia,P,,,,,,,,,,,,,,,,,,,,,
1942,"Tripoli, Libya in Africa",P,,,,,,,,,,,,,,,,,,,,,
1942,Slovakia,,Greater German Reich/Third Reich,,,"Slovakia, a Nazi satellite state, expressed no opposition to the program of deportations to the east. Slovakian Jews were the first to be murdered in Majdanek and Auschwitz-Birkenau. The “Working Group” in Slovakia – a semi-underground group of Jews, under the leadership of Gisi Fleischmann and Rabbi Michael Dov Weissmandel – sought to save Jews, both from Slovakia and other countries, by paying ransoms for them. Their attempts succeeded only to a very small degree.During 1942, 58,000 Slovakian Jews were sent to the extermination camps. The deportations were halted late that year but resumed at the end of the Slovakian Uprising (August-October 1944). Approximately 100,000 Slovakian Jews perished during the Holocaust. Between 25,000-35,000 Slovakian Jews survived. (https://www.yadvashem.org/holocaust/about/fate-of-jews/balkans-and-slovakia.html)",1,1,1,1,0,1,1,0,0,1,1,0,,,,,
1943,Greece,P,,,,,,,,,,,,,,,,,,,,,
1943,Bulgaria,P,,,,,,,,,,,,,,,,,,,,,
1943,Macedonia (Recently split from Bulgaria in 1942),P,,,,,,,,,,,,,,,,,,,,,
1943,"Pitigliano, Italy",P,,,,,,,,,,,,,,,,,,,,,
1943,"Ferrara, Italy",P,,,,,,,,,,,,,,,,,,,,,
1943,"Verona, Italy",P,,,,,,,,,,,,,,,,,,,,,
